order,seasonal,aic,bic,converged
"(2, 1, 3)","(1, 1, 1, 24)",132591.56772941136,132650.44194928935,True
"(3, 1, 2)","(1, 1, 1, 24)",132605.99320413952,132664.86811328647,False
"(3, 1, 3)","(1, 1, 1, 24)",132614.6087794815,132680.84227684425,True
"(2, 1, 2)","(1, 1, 1, 24)",132618.31020337687,132669.82574888045,True
"(2, 1, 3)","(0, 1, 1, 24)",132639.78264707592,132691.29758946918,True
"(3, 1, 2)","(0, 1, 1, 24)",132654.6100965556,132706.1256420592,True
"(3, 1, 3)","(0, 1, 1, 24)",132657.39333178048,132716.26755165847,True
"(2, 1, 2)","(0, 1, 1, 24)",132667.77229341827,132711.9284752785,True
"(1, 1, 3)","(1, 1, 1, 24)",132736.0746403289,132787.58958272217,True
"(3, 1, 1)","(1, 1, 1, 24)",132738.70772943602,132790.2232749396,True
"(1, 1, 2)","(1, 1, 1, 24)",132763.35005987587,132807.5062417361,True
"(2, 1, 1)","(1, 1, 1, 24)",132772.97911019388,132817.13580896126,True
"(1, 1, 1)","(1, 1, 1, 24)",132789.95137698192,132826.74862595473,True
"(1, 1, 3)","(0, 1, 1, 24)",132841.94030107989,132886.09596598838,True
"(3, 1, 1)","(0, 1, 1, 24)",132850.69159645805,132894.84829522544,True
"(1, 1, 2)","(0, 1, 1, 24)",132876.73223343957,132913.52905165643,True
"(2, 1, 1)","(0, 1, 1, 24)",132884.08166658305,132920.87891555586,True
"(1, 1, 1)","(0, 1, 1, 24)",132912.7000442019,132942.13784338016,True
"(0, 1, 3)","(1, 1, 1, 24)",133475.73148207972,133519.8871469882,True
"(0, 1, 2)","(1, 1, 1, 24)",133494.5823719471,133531.37919016395,True
"(3, 1, 0)","(1, 1, 1, 24)",133494.7228173025,133538.87899916273,True
"(2, 1, 0)","(1, 1, 1, 24)",133508.36174696733,133545.15899594015,True
"(0, 1, 1)","(1, 1, 1, 24)",133519.14954169505,133548.58734087332,True
"(1, 1, 0)","(1, 1, 1, 24)",133531.01765391184,133560.4557976652,True
"(0, 1, 3)","(0, 1, 1, 24)",133571.05989991772,133607.85628734148,True
"(0, 1, 2)","(0, 1, 1, 24)",133587.8863717522,133617.32382632565,True
"(0, 1, 1)","(0, 1, 1, 24)",133606.35208664445,133628.43043602814,True
"(3, 1, 0)","(0, 1, 1, 24)",133610.11782956953,133646.91550926122,True
"(2, 1, 0)","(0, 1, 1, 24)",133610.4602529327,133639.89839668607,True
"(1, 1, 0)","(0, 1, 1, 24)",133617.33010459167,133639.4087124067,True
"(3, 1, 2)","(1, 1, 0, 24)",136009.23114384152,136060.7466893451,True
"(2, 1, 3)","(1, 1, 0, 24)",136020.73634587968,136072.25249444164,True
"(2, 1, 2)","(1, 1, 0, 24)",136026.21523699895,136070.37193576634,True
"(3, 1, 1)","(1, 1, 0, 24)",136146.62131310665,136190.77749496687,True
"(3, 1, 3)","(1, 1, 0, 24)",136147.2546591176,136206.12956826456,True
"(2, 1, 1)","(1, 1, 0, 24)",136156.27240410843,136193.06965308124,True
"(1, 1, 1)","(1, 1, 0, 24)",136167.0358021662,136196.47394591957,True
"(1, 1, 2)","(1, 1, 0, 24)",136167.05818627914,136203.85586597084,True
"(1, 1, 3)","(1, 1, 0, 24)",136168.82807026923,136212.98528589925,True
"(0, 1, 3)","(1, 1, 0, 24)",136963.7327728543,137000.53088322777,True
"(3, 1, 0)","(1, 1, 0, 24)",136972.65087916475,137009.4476973816,True
"(0, 1, 2)","(1, 1, 0, 24)",136994.6393471035,137024.07783540228,True
"(2, 1, 0)","(1, 1, 0, 24)",137000.36246176437,137029.80026094263,True
"(0, 1, 1)","(1, 1, 0, 24)",137077.61765517644,137099.6965214005,True
"(1, 1, 0)","(1, 1, 0, 24)",137088.29237078736,137110.37097860238,True
"(3, 1, 2)","(0, 1, 0, 24)",138906.44111425383,138950.60968961185,True
"(2, 1, 2)","(0, 1, 0, 24)",138920.97665404034,138957.78380017204,True
"(3, 1, 3)","(0, 1, 0, 24)",139090.66277184023,139142.19217455882,True
"(2, 1, 3)","(0, 1, 0, 24)",139105.49414171814,139149.6622011912,True
"(1, 1, 3)","(0, 1, 0, 24)",139110.69775170236,139147.50446792992,True
"(2, 1, 1)","(0, 1, 0, 24)",139115.05497605432,139144.5010368534,True
"(1, 1, 2)","(0, 1, 0, 24)",139130.805975471,139160.25169237636,True
"(3, 1, 1)","(0, 1, 0, 24)",139136.06445968372,139172.87160581542,True
"(1, 1, 1)","(0, 1, 0, 24)",139150.55595988606,139172.64050548538,True
"(0, 1, 3)","(0, 1, 0, 24)",139896.6623870617,139926.10776004373,True
"(0, 1, 2)","(0, 1, 0, 24)",139981.2610533252,140003.34534100423,True
"(3, 1, 0)","(0, 1, 0, 24)",139995.33721511796,140024.7829320233,True
"(2, 1, 0)","(0, 1, 0, 24)",140055.07650719414,140077.16105279347,True
"(0, 1, 1)","(0, 1, 0, 24)",140129.2423861728,140143.96541657235,True
"(1, 1, 0)","(0, 1, 0, 24)",140179.71907676643,140194.44227909806,True
